Incident_id,Crime_type,District,City,State,Address,Latitude,Longitude,Incident_datetime,Officer_id,Officer_first_name,Officer_last_name,Badge_number,Suspect_id,Suspect_first_name,Suspect_last_name,Suspect_age,Suspect_gender,Suspect_race,Victim_id,Victim_first_name,Victim_last_name,Victim_age,Victim_gender,Victim_phone,Weapon_used,Severity,Case_status,Resolution,Num_arrests,Property_loss_usd,Reported_online,Notes
INC001115,Assault,South,Maplewood,GA,2830 Cedar Lane,36.549199,-77.50071,2024-04-16 08:45:03,OFF0078,Emily,Davis,1342,SUS00281,Barbara,Thomas,51,Male,Asian,VIC00642,Robert,Torres,51,Unknown,6223265920,Firearm,Medium,Open,No Arrest,2,24705.29,True,Incident at 2830 Cedar Lane. Officer responded at scene.
INC004706,Burglary,Southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,OFF0059,Michelle,Green,5133,SUS00376,Barbara,Harris,46,Other,Black,VIC00262,John,Martin,50,Unknown,241-973-4826,Firearm,High,Closed,Pending/Unrecorded,2,44839.49,True,Incident at 2361 Park Rd. Officer responded at scene.
INC002249,Homicide,Southwest,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781,SUS00560,Richard,Scott,19,Female,Asian,VIC00518,Richard,Hill,29,Other,244-584-7696,KNIFE,Low,Closed,Warning Issued,2,15963.38,True,Incident at 1067 Main St. Officer responded at scene.
INC000021,Property Damage,Central,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,OFF0077,Chris,Jackson,5097,SUS00468,Michael,Thomas,46,Male,Black,VIC00243,Susan,Young,50,Unknown,5021227484,hands,Low,Resolved,Pending/Unrecorded,5,48680.14,False,Incident at 4713 Washington Ave. Officer responded at scene.
INC000488,Domestic Violence,North,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,OFF0083,Susan,Flores,6220,SUS00751,Thomas,Jackson,75,Female,White,VIC00512,Thomas,Thomas,51,Male,9698766873,Unarmed,Medium,Closed,Warning Issued,2,23513.01,True,No notes recorded
INC000661,Breaking & Entering,East,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,2020-03-05 00:00:00,OFF0089,Jennifer,Green,7082,SUS00454,James,Lee,73,Unknown,White,VIC00473,Anthony,Wilson,15,Unknown,590-332-6488,Blunt Object,High,Under Investigation,Arrest Made,1,24705.29,True,Incident at 3551 Elm Blvd. Officer responded at scene.
INC001727,Robbery,Southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,OFF0141,Jennifer,Harris,7747,SUS00623,Carol,Harris,58,Female,Unknown,VIC00429,Mary,Walker,72,Female,431-579-6170,Blunt Object,Medium,Closed,Warning Issued,3,24705.29,True,Incident at 7394 Cedar Lane. Officer responded at scene.
INC003981,Homicide,Midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,OFF0008,Karen,Hall,7869,SUS00533,Jennifer,Taylor,73,Male,White,VIC00904,David,Torres,50,Female,587-505-1798,Unknown,Low,Open,No Arrest,2,19075.36,False,Incident at 1610 River Rd. Officer responded at scene.
INC001205,Breaking & Entering,East,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229,SUS00320,Robert,Hill,26,Male,Hispanic,VIC00093,Mary,Lee,55,Other,3956212676,hands,Critical,Under Investigation,Warning Issued,0,34452.47,True,Incident at 378 Oak Ave. Officer responded at scene.
INC000972,Homicide,Northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,OFF0093,Mary,Thompson,7242,,,,46,Unknown,Unknown,VIC00859,Michelle,Hill,10,Unknown,376-440-3132,Rifle,Medium,Under Investigation,Pending/Unrecorded,5,35339.52,False,No notes recorded
